Age,Gender,Occupation,Country,Severity,Consultation_History,Stress_Level,Sleep_Hours,Work_Hours,Physical_Activity_Hours
34,Non-binary,Education,Australia,None,No,Low,6.3,62,0
39,Non-binary,Education,India,Medium,Yes,Low,8.4,40,6
45,Female,Healthcare,Australia,None,Yes,Medium,7.5,57,2
21,Male,IT,Other,None,No,High,4.3,57,2
23,Male,Sales,Canada,None,Yes,Medium,4.5,41,8
52,Non-binary,Healthcare,UK,None,Yes,High,4.5,76,4
52,Male,Engineering,Canada,None,No,High,6.0,63,6
21,Prefer not to say,Sales,Other,Medium,Yes,Low,5.0,39,9
20,Male,Healthcare,India,None,No,High,9.4,41,3
56,Prefer not to say,IT,Other,None,Yes,High,5.2,32,0
65,Male,Sales,Other,Medium,No,Low,8.9,42,7
56,Non-binary,Engineering,Canada,None,Yes,Low,4.9,74,1
33,Non-binary,Other,India,Low,No,High,8.4,33,4
54,Male,Healthcare,Canada,None,No,Low,6.7,38,4
27,Prefer not to say,IT,Canada,None,Yes,High,8.8,57,0
40,Female,Engineering,UK,None,Yes,Low,8.2,52,7
24,Prefer not to say,Other,UK,High,No,High,8.5,42,1
49,Male,IT,USA,None,No,High,4.6,70,10
63,Non-binary,Finance,Other,None,Yes,Medium,4.8,65,2
37,Female,IT,UK,High,Yes,Medium,8.1,74,5
23,Female,Finance,Other,Low,No,Medium,8.2,42,1
45,Prefer not to say,Healthcare,Canada,Medium,No,Low,6.4,64,5
56,Male,IT,India,None,No,High,8.5,55,5
36,Female,IT,India,None,No,Low,5.4,42,1
47,Female,Healthcare,UK,Low,Yes,Medium,4.4,30,6
46,Female,Engineering,Other,Medium,Yes,Low,6.6,75,3
58,Female,IT,Canada,Low,Yes,Low,8.7,65,2
43,Non-binary,Sales,UK,High,Yes,Low,9.7,65,2
34,Male,Other,Other,Low,No,High,9.0,37,10
31,Male,Healthcare,Other,Low,Yes,Low,7.8,75,2
25,Non-binary,Education,USA,Low,Yes,Medium,4.6,59,9
64,Female,Finance,Germany,None,Yes,Low,4.2,61,5
61,Male,Other,India,None,Yes,High,8.6,48,0
18,Prefer not to say,Finance,India,None,Yes,Low,9.9,37,7
55,Non-binary,Sales,Australia,High,Yes,High,6.4,50,3
63,Prefer not to say,Healthcare,UK,None,No,Low,4.7,58,9
34,Non-binary,Education,UK,Medium,No,Medium,5.7,78,6
59,Female,IT,Other,None,Yes,Medium,7.4,40,3
46,Non-binary,Engineering,Germany,High,No,High,7.7,67,3
28,Non-binary,Education,USA,High,Yes,Medium,10.0,53,0
41,Non-binary,IT,Australia,None,No,High,9.1,50,7
61,Female,IT,India,None,No,Low,9.9,37,9
62,Prefer not to say,Other,Australia,None,Yes,High,6.3,56,3
32,Prefer not to say,IT,UK,Low,No,High,8.2,62,4
30,Prefer not to say,Other,Australia,Low,Yes,Low,4.1,80,9
48,Prefer not to say,Finance,Canada,Medium,No,Low,4.9,51,7
51,Non-binary,Education,Australia,High,Yes,High,7.0,45,3
39,Female,Finance,UK,High,No,Low,8.3,41,7
31,Female,Engineering,Other,None,Yes,Medium,4.8,49,6
34,Prefer not to say,Engineering,USA,None,Yes,Low,6.7,35,0
43,Male,Sales,India,High,Yes,High,4.6,33,6
33,Male,Healthcare,UK,High,No,Medium,9.1,67,9
22,Prefer not to say,Finance,Other,High,Yes,Medium,8.4,30,8
20,Female,Sales,Other,Low,Yes,High,8.2,45,8
35,Prefer not to say,Finance,Canada,Medium,No,High,8.2,73,10
64,Prefer not to say,IT,USA,Low,Yes,Medium,5.4,50,3
55,Male,IT,Australia,Low,No,Medium,9.5,40,7
33,Non-binary,IT,Germany,None,No,Low,7.8,33,4
34,Female,Healthcare,India,None,Yes,High,8.1,42,2
30,Prefer not to say,IT,India,None,Yes,Low,7.7,63,1
35,Non-binary,Engineering,Other,Low,No,Low,8.5,65,0
63,Prefer not to say,Sales,Canada,Medium,Yes,Low,4.9,37,9
41,Non-binary,Education,USA,Low,Yes,High,9.9,43,6
21,Female,Education,Canada,Medium,Yes,High,6.1,50,3
34,Non-binary,Other,Australia,None,No,Medium,8.8,78,7
62,Non-binary,Engineering,USA,High,Yes,Low,7.0,44,5
38,Female,Sales,Canada,None,Yes,High,7.7,34,1
45,Male,Engineering,Australia,None,No,High,5.9,36,10
52,Prefer not to say,Finance,USA,High,Yes,Medium,8.9,56,0
36,Prefer not to say,Other,Canada,Medium,No,Low,8.4,35,4
18,Female,Education,Australia,Medium,No,Low,9.3,77,1
53,Non-binary,Other,Other,None,No,Low,9.2,48,9
19,Non-binary,Sales,Germany,None,Yes,Low,7.5,40,7
44,Male,Sales,Germany,None,Yes,High,9.1,35,0
50,Non-binary,Other,India,High,Yes,Low,7.4,32,9
62,Male,Other,UK,High,Yes,High,5.5,56,9
58,Non-binary,Healthcare,Australia,High,No,High,4.0,30,1
38,Non-binary,Education,USA,None,No,Medium,5.2,58,9
42,Female,Other,Canada,None,No,Low,4.7,40,4
54,Non-binary,Other,USA,None,Yes,Low,7.8,47,10
26,Prefer not to say,Other,UK,Medium,No,Low,5.3,73,9
30,Prefer not to say,Education,UK,None,No,Medium,8.0,63,7
26,Female,Engineering,Canada,None,Yes,High,8.4,44,3
49,Female,Finance,USA,None,No,High,9.7,64,2
38,Female,Healthcare,USA,High,No,Low,6.4,68,0
40,Non-binary,IT,UK,High,Yes,Low,8.2,67,9
52,Female,Education,Canada,High,No,Medium,7.9,57,2
50,Prefer not to say,Sales,Canada,Medium,Yes,Medium,4.8,71,10
56,Non-binary,Finance,Canada,None,No,High,7.5,75,8
46,Non-binary,Other,Germany,None,Yes,Low,9.3,50,0
31,Male,Sales,Canada,None,No,High,4.5,37,6
33,Female,IT,Germany,High,Yes,Medium,9.7,73,10
42,Female,Finance,Australia,None,No,Medium,6.5,79,8
43,Prefer not to say,Sales,Germany,Low,Yes,Low,6.0,61,7
